                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
68F06D	ALONG INDUSTRIAL CO., LIMITED
68F0BC	Shenzhen LiWiFi Technology Co., Ltd
68F125	Data Controls Inc.
68F728	LCFC(HeFei) Electronics Technology co., ltd
68F895	Redflow Limited
68F956	Objetivos y Servicio de Valor Añadido
68FB7E	Apple, Inc.
68FB95	Generalplus Technology Inc.
68FCB3	Next Level Security Systems, Inc.
6C0273	Shenzhen Jin Yun Video Equipment Co., Ltd.
6C0460	RBH Access Technologies Inc.
6C09D6	Digiquest Electronics LTD
6C0B84	Universal Global Scientific Industrial Co., Ltd.
6C0E0D	Sony Mobile Communications AB
6C0EE6	Chengdu Xiyida Electronic Technology Co,.Ltd
6C0F6A	JDC Tech Co., Ltd.
6C14F7	Erhardt+               # Erhardt+Leimer GmbH
6C15F9	Nautronix Limited
6C160E	ShotTracker
6C1811	Decatur Electronics
6C198F	D-Link International
6C19C0	Apple, Inc.
6C1E70	Guangzhou YBDS IT Co.,Ltd
6C1E90	Hansol Technics Co., Ltd.
6C2056	Cisco Systems, Inc
6C22AB	Ainsworth Game Technology
6C23B9	Sony Mobile Communications AB
6C2483	Microsoft Mobile Oy
6C25B9	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
6C2779	Microsoft Mobile Oy
6C2995	Intel Corporate
6C2C06	OOO NPP Systemotechnika-NN
6C2E33	Accelink Technologies Co.,Ltd.
6C2E72	B&B EXPORTING LIMITED
6C2E85	Sagemcom Broadband SAS
6C2F2C	Samsung Electronics Co.,Ltd
6C32DE	Indieon Technologies Pvt. Ltd.
6C33A9	Magicjack LP
6C38A1	Ubee Interactive Corp.
6C391D	Beijing ZhongHuaHun Network Information center
6C3A84	Shenzhen Aero-Startech. Co.Ltd
6C3B6B	Routerboard.com
6C3BE5	Hewlett Packard
6C3C53	SoundHawk Corp
6C3E6D	Apple, Inc.
6C3E9C	KE Knestel Elektronik GmbH
6C4008	Apple, Inc.
6C40C6	Nimbus Data Systems, Inc.
6C416A	Cisco Systems, Inc
6C4418	Zappware
6C4598	Antex Electronic Corp.
6C4A39	Bita
6C4B7F	Vossloh-               # Vossloh-Schwabe Deutschland GmbH
6C4B90	Liteon
6C504D	Cisco Systems, Inc
6C5779	Aclima, Inc.
6C5940	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
6C5976	Shanghai Tricheer Technology Co.,Ltd.
6C5A34	Shenzhen Haitianxiong Electronic Co., Ltd.
6C5AB5	TCL Technoly Electronics (Huizhou) Co., Ltd.
6C5C14	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
6C5CDE	SunReports, Inc.
6C5D63	ShenZhen Rapoo Technology Co., Ltd.
6C5E7A	Ubiquitous Internet Telecom Co., Ltd
6C5F1C	Lenovo Mobile Communication Technology Ltd.
6C6126	Rinicom Holdings
6C626D	Micro-Star INT'L CO., LTD
6C641A	Penguin Computing
6C6EFE	Core Logic Inc.
6C6F18	Stereotaxis, Inc.
6C7039	Novar GmbH
6C709F	Apple, Inc.
6C71BD	EZELINK TELECOM
6C71D9	AzureWave Technology Inc.
6C7220	D-Link International
6C72E7	Apple, Inc.
6C750D	Wifisong
6C7660	KYOCERA Corporation
6C81FE	Mitsuba Corporation
6C8336	Samsung Electronics Co.,Ltd
6C8366	Nanjing SAC Power Grid Automation Co., Ltd.
6C8686	Technonia
6C8814	Intel Corporate
6C8B2F	zte corporation
6C8CDB	Otus Technologies Ltd
6C8D65	Wireless Glue Networks, Inc.
6C8DC1	Apple, Inc.
6C8FB5	Microsoft Mobile Oy
6C90B1	SanLogic Inc
6C92BF	Inspur Electronic Information Industry Co.,Ltd.
6C9354	Yaojin Technology (Shenzhen) Co., LTD.
6C94F8	Apple, Inc.
6C9522	Scalys
6C98EB	Riverbed Technology, Inc.
6C9989	Cisco Systems, Inc
6C9AC9	Valentine Research, Inc.
6C9B02	Nokia Corporation
6C9CE9	Nimble Storage
6C9CED	Cisco Systems, Inc
6CA100	Intel Corporate
6CA682	EDAM information & communications
6CA75F	zte corporation
6CA780	Nokia Corporation
6CA7FA	YOUNGBO ENGINEERING INC.
6CA849	Avaya Inc
6CA858	Fiberhome Telecommunication Technologies Co.,LTD
6CA906	Telefield Ltd
6CA96F	TransPacket AS
6CAAB3	Ruckus Wireless
6CAB31	Apple, Inc.
6CAB4D	Digital Payment Technologies
6CAC60	Venetex Corp
6CAD3F	Hubbell Building Automation, Inc.
6CADEF	KZ Broadband Technologies, Ltd.
6CADF8	AzureWave Technology Inc.
6CAE8B	IBM Corporation
6CB0CE	Netgear
6CB311	Shenzhen Lianrui Electronics Co.,Ltd
6CB350	Anhui comhigher tech co.,ltd
6CB4A7	Landauer, Inc.
6CB56B	HUMAX Co., Ltd.
6CB7F4	Samsung Electronics Co.,Ltd
6CB9C5	Delta Networks, Inc.
6CBEE9	Alcatel-               # Alcatel-Lucent IPD
6CBFB5	Noon Technology Co., Ltd
6CC1D2	ARRIS Group, Inc.
6CC217	Hewlett Packard
6CC26B	Apple, Inc.
6CCA08	ARRIS Group, Inc.
6CD032	LG Electronics
6CD146	Smartek d.o.o.
6CD1B0	WING SING ELECTRONICS HONG KONG LIMITED
6CD68A	LG Electronics (Mobile Communications)
6CDC6A	Promethean Limited
6CE01E	Modcam AB
6CE0B0	Sound4
6CE3B6	Nera Telecommunications Ltd.
6CE4CE	Villiger Security Solutions AG
6CE873	TP-LINK TECHNOLOGIES CO.,LTD.
6CE907	Nokia Corporation
6CE983	Gastron Co., LTD.
6CEBB2	Dongguan Sen DongLv Electronics Co.,Ltd
6CEC5A	Hon Hai Precision Ind. CO.,Ltd.
6CECA1	SHENZHEN CLOU ELECTRONICS CO. LTD.
6CECEB	Texas Instruments
6CEFC6	SHENZHEN TWOWING TECHNOLOGIES CO.,LTD.
6CF049	GIGA-BYTE TECHNOLOGY CO.,LTD.
6CF373	Samsung Electronics Co.,Ltd
6CF37F	Aruba Networks
6CF5E8	Mooredoll Inc.
6CF97C	Nanoptix Inc.
6CFA58	Avaya Inc
6CFA89	Cisco Systems, Inc
6CFAA7	AMPAK Technology, Inc.
6CFDB9	Proware Technologies Co Ltd.
6CFFBE	MPB Communications Inc.
700136	FATEK Automation Corporation
700258	01DB-METRAVIB
700514	LG Electronics (Mobile Communications)
700BC0	Dewav Technology Company
700FC7	SHENZHEN IKINLOOP TECHNOLOGY CO.,LTD.
700FEC	Poindus Systems Corp.
70105C	Cisco Systems, Inc
70106F	Hewlett Packard Enterprise
701124	Apple, Inc.
7011AE	Music Life LTD
701404	Limited Liability Company
7014A6	Apple, Inc.
70188B	Hon Hai Precision Ind. Co.,Ltd.
701A04	Liteon Technology Corporation
701AED	ADVAS CO., LTD.
701CE7	Intel Corporate
701D7F	Comtech Technology Co., Ltd.
701DC4	NorthStar Battery Company, LLC
702084	Hon Hai Precision Ind. Co., Ltd.
702393	fos4X GmbH
702526	Nokia
702559	CyberTAN Technology Inc.
70288B	Samsung Electronics Co.,Ltd
702900	Shenzhen ChipTrip Technology Co,Ltd
702A7D	EpSpot AB
702B1D	E-Domus International Limited
702C1F	Wisol
702D84	i4C Innovations
702DD1	Newings Communication CO., LTD.
702E22	zte corporation
702F4B	PolyVision Inc.
702F97	Aava Mobile Oy
703018	Avaya Inc
70305D	Ubiquoss Inc
70305E	Nanjing Zhongke Menglian Information Technology Co.,LTD
703187	ACX GmbH
7032D5	Athena Wireless Communications Inc
703811	Invensys Rail
7038B4	Low Tech Solutions
7038EE	Avaya Inc
703A0E	Aruba Networks
703ACB	Google, Inc.
703AD8	Shenzhen Afoundry Electronic Co., Ltd
703C03	RadiAnt Co.,Ltd
703C39	SEAWING Kft
703D15	Hangzhou H3C Technologies Co., Limited
703EAC	Apple, Inc.
7041B7	Edwards Lifesciences LLC
704642	CHYNG HONG ELECTRONIC CO., LTD.
70480F	Apple, Inc.
704AAE	Xstream Flow (Pty) Ltd
704AE4	Rinstrum Pty Ltd
704CA5	Fortinet, Inc.
704CED	TMRG, Inc.
704D7B	ASUSTek COMPUTER INC.
704E01	KWANGWON TECH CO., LTD.
704E66	SHENZHEN FAST TECHNOLOGIES CO.,LTD
704F57	TP-LINK TECHNOLOGIES CO.,LTD.
7050AF	BSkyB Ltd
7052C5	Avaya Inc
70533F	Alfa Instrumentos Eletronicos Ltda.
7054D2	PEGATRON CORPORATION
7054F5	HUAWEI TECHNOLOGIES CO.,LTD
705681	Apple, Inc.
705812	Panasonic AVC Networks Company
705957	Medallion Instrumentation Systems
705986	OOO TTV
705A0F	Hewlett Packard
705A9E	Technicolor CH USA Inc.
705AB6	COMPAL INFORMATION (KUNSHAN) CO., LTD.
705B2E	M2Communication Inc.
705CAD	Konami Gaming Inc
705EAA	Action Target, Inc.
7060DE	LaVision GmbH
706173	Calantec GmbH
7062B8	D-Link International
706417	ORBIS TECNOLOGIA ELECTRICA S.A.
706582	Suzhou Hanming Technologies Co., Ltd.
70661B	Sonova AG
706879	Saijo Denki International Co., Ltd.
706DEC	Wifi-soft LLC
706F81	Private
70700D	Apple, Inc.
70704C	Purple Communications, Inc
7071B3	Brain Corporation
7071BC	PEGATRON CORPORATION
70720D	Lenovo Mobile Communication Technology Ltd.
70723C	HUAWEI TECHNOLOGIES CO.,LTD
7072CF	EdgeCore Networks
7073CB	Apple, Inc.
707630	ARRIS Group, Inc.
7076DD	Oxyguard International A/S
7076F0	LevelOne Communications (India) Private Limited
7076FF	Kerlink
707781	Hon Hai Precision Ind. Co.,Ltd.
707938	Wuxi Zhanrui Electronic Technology Co.,LTD
707990	HUAWEI TECHNOLOGIES CO.,LTD
707BE8	HUAWEI TECHNOLOGIES CO.,LTD
707C18	ADATA Technology Co., Ltd
707C69	Avaya Inc
707E43	ARRIS Group, Inc.
707EDE	NASTEC LTD.
708105	Cisco Systems, Inc
7081EB	Apple, Inc.
70820E	as electronics GmbH
70828E	OleumTech Corporation
7085C2	ASRock Incorporation
7085C6	ARRIS Group, Inc.
70884D	JAPAN RADIO CO., LTD.
708A09	HUAWEI TECHNOLOGIES CO.,LTD
708B78	citygrow technology co., ltd
708BCD	ASUSTek COMPUTER INC.
708D09	Nokia Corporation
70918F	Weber-Stephen Products LLC
709383	Intelligent Optical Network High Tech CO.,LTD.
7093F8	Space Monkey, Inc.
709756	Happyelectronics Co.,Ltd
709A0B	Italian Institute of Technology
709BA5	Shenzhen Y&D Electronics Co.,LTD.
709BFC	Bryton Inc.
709C8F	Nero AG
709E29	Sony Interactive Entertainment Inc.
709E86	X6D Limited
709F2D	zte corporation
70A191	Trendsetter Medical, LLC
70A2B3	Apple, Inc.
70A41C	Advanced Wireless Dynamics S.L.
70A66A	Prox Dynamics AS
70A84C	MONAD., Inc.
70A8E3	HUAWEI TECHNOLOGIES CO.,LTD
70AAB2	BlackBerry RTS
70AD54	Malvern Instruments Ltd
70AF24	TP Vision Belgium NV
70AF25	Nishiyama Industry Co.,LTD.
70AF6A	SHENZHEN FENGLIAN TECHNOLOGY CO., LTD.
70B035	Shenzhen Zowee Technology Co., Ltd
70B08C	Shenou Communication Equipment Co.,Ltd
70B14E	ARRIS Group, Inc.
70B265	Hiltron s.r.l.
70B3D5	IEEE Registration Authority
70B599	Embedded Technologies s.r.o.
70B921	Fiberhome Telecommunication Technologies Co.,LTD
70BAEF	Hangzhou H3C Technologies Co., Limited
70BF3E	Charles River Laboratories
70C6AC	Bosch Automotive Aftermarket
70C76F	INNO S
70CA4D	Shenzhen lnovance Technology Co.,Ltd.
70CA9B	Cisco Systems, Inc
70CD60	Apple, Inc.
70D379	Cisco Systems, Inc
70D4F2	Rim
70D57E	Scalar Corporation
70D5E7	Wellcore Corporation
70D6B6	Metrum Technologies
70D880	Upos System sp. z o.o.
70D923	vivo Mobile Communication Co., Ltd.
70D931	Cambridge Industries(Group) Co.,Ltd.
70DA9C	Tecsen
70DB98	Cisco Systems, Inc
70DDA1	Tellabs
70DEE2	Apple, Inc.
70E027	HONGYU COMMUNICATION TECHNOLOGY LIMITED
70E139	3view Ltd
70E24C	SAE IT-systems GmbH & Co. KG
70E284	Wistron Infocomm (Zhongshan) Corporation
70E422	Cisco Systems, Inc
70E72C	Apple, Inc.
70E843	Beijing C&W Optical Communication Technology Co.,Ltd.
70ECE4	Apple, Inc.
70EE50	Netatmo
70F087	Apple, Inc.
70F176	Data Modul AG
70F196	Actiontec Electronics, Inc
70F1A1	Liteon Technology Corporation
70F1E5	Xetawave LLC
70F395	Universal Global Scientific Industrial Co., Ltd.
70F8E7	IEEE Registration Authority
70F927	Samsung Electronics Co.,Ltd
70F96D	Hangzhou H3C Technologies Co., Limited
70FC8C	OneAccess SA
70FF5C	Cheerzing Communication(Xiamen)Technology Co.,Ltd
70FF76	Texas Instruments
7403BD	BUFFALO.INC
74042B	Lenovo Mobile Communication (Wuhan) Company Limited
740ABC	JSJS Designs (Europe) Limited
740EDB	Optowiz Co., Ltd
741489	SRT Wireless
7415E2	Tri-Sen Systems Corporation
741865	Shanghai DareGlobal Technologies Co.,Ltd
7419F8	IEEE Registration Authority
741BB2	Apple, Inc.
741E93	Fiberhome Telecommunication Technologies Co.,LTD
741F4A	Hangzhou H3C Technologies Co., Limited
742344	Xiaomi Communications Co Ltd
74258A	Hangzhou H3C Technologies Co., Limited
7426AC	Cisco Systems, Inc
74273C	ChangYang Technology (Nanjing) Co., LTD
7427EA	Elitegroup Computer Systems Co.,Ltd.
7429AF	Hon Hai Precision Ind. Co.,Ltd.
742B0F	Infinidat Ltd.
742B62	FUJITSU LIMITED
742D0A	Norfolk Elektronik AG
742EFC	DirectPacket Research, Inc,
742F68	AzureWave Technology Inc.
743170	Arcadyan Technology Corporation
743256	NT-ware Systemprg GmbH
74372F	Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd
743889	ANNAX Anzeigesysteme GmbH
743A65	NEC Corporation
743E2B	Ruckus Wireless
743ECB	Gentrice tech
744401	Netgear
74458A	Samsung Electronics Co.,Ltd
7446A0	Hewlett Packard
744AA4	zte corporation
744BE9	EXPLORER HYPERTECH CO.,LTD
744D79	Arrive Systems Inc.
7451BA	Xiaomi Communications Co Ltd
745327	COMMSEN CO., LIMITED
74547D	Cisco SPVTG
745612	ARRIS Group, Inc.
745798	TRUMPF Laser GmbH + Co. KG
745AAA	HUAWEI TECHNOLOGIES CO.,LTD
745C9F	TCT mobile ltd
745E1C	PIONEER CORPORATION
745F00	Samsung Semiconductor Inc.
745FAE	TSL PPL
74614B	Chongqing Huijiatong Information Technology Co., Ltd.
7463DF	VTS GmbH
7465D1	Atlinks
746630	Tmi Ytti
7467F7	Extreme Networks
746A3A	Aperi Corporation
746A89	Rezolt Corporation
746A8F	VS Vision Systems GmbH
746B82	Movek
746F19	ICARVISIONS (SHENZHEN) TECHNOLOGY CO., LTD.
746F3D	Contec GmbH
746FF7	Wistron Neweb Corporation
7472B0	Guangzhou Shiyuan Electronics Co., Ltd.
7472F2	Chipsip Technology Co., Ltd.
747336	MICRODIGTAL Inc
747548	Amazon Technologies Inc.
747818	Jurumani Solutions
747B7A	ETH Inc.
747DB6	Aliwei Communications, Inc
747E1A	Red Embedded Design Limited
747E2D	Beijing Thomson CITIC Digital Technology Co. LTD.
748114	Apple, Inc.
74852A	PEGATRON CORPORATION
74867A	Dell Inc.
7487A9	OCT Technology Co., Ltd.
74882A	HUAWEI TECHNOLOGIES CO.,LTD
74888B	ADB Broadband Italia
748A69	Korea Image Technology Co., Ltd
748D08	Apple, Inc.
748E08	Bestek Corp.
748EF8	Brocade Communications Systems, Inc.
748F1B	MasterImage 3D
748F4D	MEN Mikro Elektronik GmbH
749050	Renesas Electronics Corporation
74911A	Ruckus Wireless
7491BD	Four systems Co.,Ltd.
7493A4	Zebra Technologies Corp.
74943D	AgJunction
749637	Todaair Electronic Co., Ltd
749781	zte corporation
749975	IBM Corporation
749C52	Huizhou Desay SV Automotive Co., Ltd.
749CE3	KodaCloud Canada, Inc
749D8F	HUAWEI TECHNOLOGIES CO.,LTD
749DDC	2Wire Inc
74A02F	Cisco Systems, Inc
74A063	HUAWEI TECHNOLOGIES CO.,LTD
74A2E6	Cisco Systems, Inc
74A34A	ZIMI CORPORATION
74A4A7	QRS Music Technologies, Inc.
74A4B5	Powerleader Science and Technology Co. Ltd.
74A528	HUAWEI TECHNOLOGIES CO.,LTD
74A722	LG Electronics (Mobile Communications)
74A78E	zte corporation
74AC5F	Qiku Internet Network Scientific (Shenzhen) Co., Ltd.
74ADB7	China Mobile Group Device Co.,Ltd.
74AE76	iNovo Broadband, Inc.
74B00C	Network Video Technologies, Inc
74B472	Ciesse
74B57E	zte corporation
74B9EB	JinQianMao Technology Co.,Ltd.
74BADB	Longconn Electornics(shenzhen)Co.,Ltd
74BE08	ATEK Products, LLC
74BFA1	Hyunteck
74BFB7	Nusoft Corporation
74C246	Amazon Technologies Inc.
74C330	SHENZHEN FAST TECHNOLOGIES CO.,LTD
74C621	Zhejiang Hite Renewable Energy Co.,LTD
74C63B	AzureWave Technology Inc.
74C99A	Ericsson AB
74C9A3	Fiberhome Telecommunication Technologies Co.,LTD
74CA25	Calxeda, Inc.
74CC39	Fiberhome Telecommunication Technologies Co.,LTD
74CD0C	Smith Myers Communications Ltd.
74CE56	Packet Force Technology Limited Company
74D02B	ASUSTek COMPUTER INC.
74D0DC	ERICSSON AB
74D435	GIGA-BYTE TECHNOLOGY CO.,LTD.
74D675	WYMA Tecnologia
74D6EA	Texas Instruments
74D7CA	Panasonic Corporation Automotive
74D850	Evrisko Systems
74DA38	Edimax Technology Co. Ltd.
74DAEA	Texas Instruments
74DBD1	Ebay Inc
74DE2B	Liteon Technology Corporation
74DFBF	Liteon Technology Corporation
74E06E	Ergophone GmbH
74E14A	IEEE Registration Authority
74E1B6	Apple, Inc.
74E277	Vizmonet Pte Ltd
74E28C	Microsoft Corporation
74E2F5	Apple, Inc.
74E424	APISTE CORPORATION
74E50B	Intel Corporate
74E537	Radspin
74E543	Liteon Technology Corporation
74E6E2	Dell Inc.
74E7C6	ARRIS Group, Inc.
74EA3A	TP-LINK TECHNOLOGIES CO.,LTD.
74EAE8	ARRIS Group, Inc.
74ECF1	Acumen
74F06D	AzureWave Technology Inc.
74F07D	BnCOM Co.,Ltd
74F102	Beijing HCHCOM Technology Co., Ltd
74F413	Maxwell Forest
74F612	ARRIS Group, Inc.
74F726	Neuron Robotics
74F85D	Berkeley Nucleonics Corp
74F8DB	IEEE Registration Authority
74FDA0	Compupal (Group) Corporation
74FE48	ADVANTECH CO., LTD.
74FF4C	Skyworth Digital Technology(Shenzhen) Co.,Ltd
74FF7D	Wren Sound Systems, LLC
78009E	Samsung Electronics Co.,Ltd
78028F	Adaptive Spectrum and Signal Alignment (ASSIA), Inc.
7802B7	ShenZhen Ultra Easy Technology CO.,LTD
7802F8	Xiaomi Communications Co Ltd
780541	Queclink Wireless Solutions Co., Ltd
780738	Z.U.K. Elzab S.A.
780AC7	Baofeng TV Co., Ltd.
780CB8	Intel Corporate
781185	NBS Payment Solutions Inc.
7812B8	ORANTEK LIMITED
781881	AzureWave Technology Inc.
78192E	NASCENT Technology
7819F7	Juniper Networks
781C5A	SHARP Corporation
781DBA	HUAWEI TECHNOLOGIES CO.,LTD
781DFD	Jabil Inc
781FDB	Samsung Electronics Co.,Ltd
782079	ID Tech
78223D	Affirmed Networks
7823AE	ARRIS Group, Inc.
7824AF	ASUSTek COMPUTER INC.
782544	Omnima Limited
7825AD	Samsung Electronics Co.,Ltd
7828CA	Sonos, Inc.
782BCB	Dell Inc.
782EEF	Nokia Corporation
78303B	Stephen Technologies Co.,Limited
7830E1	UltraClenz, LLC
78312B	zte corporation
7831C1	Apple, Inc.
78324F	Millennium Group, Inc.
783A84	Apple, Inc.
783CE3	Kai-Ee
783D5B	TELNET Redes Inteligentes S.A.
783E53	BSkyB Ltd
783F15	EasySYNC Ltd.
7840E4	Samsung Electronics Co.,Ltd
784405	FUJITU(HONG KONG) ELECTRONIC Co.,LTD.
784476	Zioncom Electronics (Shenzhen) Ltd.
784561	CyberTAN Technology Inc.
7845C4	Dell Inc.
7846C4	DAEHAP HYPER-TECH
78471D	Samsung Electronics Co.,Ltd
784859	Hewlett Packard
78491D	The Will-Burt Company
784B08	f.robotics acquisitions ltd
784B87	Murata Manufacturing Co., Ltd.
784F43	Apple, Inc.
78510C	LiveU Ltd.
78521A	Samsung Electronics Co.,Ltd
785262	Shenzhen Hojy Software Co., Ltd.
7853F2	ROXTON Ltd.
78542E	D-Link International
785517	SankyuElectronics
785712	Mobile Integration Workgroup
7858F3	Vachen Co.,Ltd
78593E	RAFI GmbH & Co.KG
78595E	Samsung Electronics Co.,Ltd
785968	Hon Hai Precision Ind. Co.,Ltd.
785C72	Hioso Technology Co., Ltd.
785F4C	Argox Information Co., Ltd.
78617C	MITSUMI ELECTRIC CO.,LTD
7864E6	Green Motive Technology Limited
7866AE	ZTEC Instruments, Inc.
7868F7	YSTen Technology Co.,Ltd
786A89	HUAWEI TECHNOLOGIES CO.,LTD
786C1C	Apple, Inc.
78719C	ARRIS Group, Inc.
787D48	ITEL MOBILE LIMITED
787E61	Apple, Inc.
787F62	GiK mbH
78818F	Server Racks Australia Pty Ltd
78843C	Sony Corporation
7884EE	INDRA ESPACIO S.A.
78888A	CDR Sp. z o.o. Sp. k.
788973	Cmc
788A20	Ubiquiti Networks Inc.
788B77	Standar Telecom
788C54	Eltek Technologies LTD
788DF7	Hitron Technologies. Inc
788E33	Jiangsu SEUIC Technology Co.,Ltd
78923E	Nokia Corporation
78929C	Intel Corporate
7894B4	Sercomm Corporation.
789682	zte corporation
789684	ARRIS Group, Inc.
7898FD	Q9 Networks Inc.
78995C	Nationz Technologies Inc
789966	Musilab Electronics (DongGuan)Co.,Ltd.
78998F	MEDILINE ITALIA SRL
789C85	August Home, Inc.
789CE7	Shenzhen Aikede Technology Co., Ltd
789ED0	Samsung Electronics Co.,Ltd
789F4C	HOERBIGER Elektronik GmbH
789F70	Apple, Inc.
789F87	Siemens AG I IA PP PRM
78A051	iiNet Labs Pty Ltd
78A106	TP-LINK TECHNOLOGIES CO.,LTD.
78A183	Advidia
78A2A0	Nintendo Co., Ltd.
78A351	SHENZHEN ZHIBOTONG ELECTRONICS CO.,LTD
78A3E4	Apple, Inc.
78A504	Texas Instruments
78A5DD	Shenzhen Smarteye Digital Electronics Co., Ltd
78A683	Precidata
78A6BD	DAEYEON Control&Instrument Co,.Ltd
78A714	Amphenol
78A873	Samsung Electronics Co.,Ltd
78AB60	ABB Australia
78ABBB	Samsung Electronics Co.,Ltd
78ACBF	Igneous Systems
78ACC0	Hewlett Packard
78AE0C	Far South Networks
78AF58	GIMASI SA
78B3B9	ShangHai sunup lighting CO.,LTD
78B3CE	Elo touch solutions
78B5D2	Ever Treasure Industrial Limited
78B6C1	AOBO Telecom Co.,Ltd
78B81A	INTER SALES A/S
78B84B	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
78BAD0	Shinybow Technology Co. Ltd.
78BAF9	Cisco Systems, Inc
78BDBC	Samsung Electronics Co.,Ltd
78BEB6	Enhanced Vision
78BEBD	STULZ GmbH
78C1A7	zte corporation
78C2C0	IEEE Registration Authority
78C3E9	Samsung Electronics Co.,Ltd
78C40E	H&D Wireless
78C4AB	Shenzhen Runsil Technology Co.,Ltd
78C5E5	Texas Instruments
78C6BB	Innovasic, Inc.
78CA04	Nokia Corporation
78CA39	Apple, Inc.
78CA5E	Elno
78CA83	IEEE Registration Authority
78CB33	DHC Software Co.,Ltd
78CB68	DAEHAP HYPER-TECH
78CD8E	SMC Networks Inc
78D004	Neousys Technology Inc.
78D129	Vicos
78D34F	Pace-O-Matic, Inc.
78D38D	HONGKONG YUNLINK TECHNOLOGY LIMITED
78D5B5	NAVIELEKTRO KY
78D66F	Aristocrat Technologies Australia Pty. Ltd.
78D6B2	Toshiba
78D6F0	SAMSUNG ELECTRO MECHANICS CO., LTD.
78D752	HUAWEI TECHNOLOGIES CO.,LTD
78D75F	Apple, Inc.
78D99F	NuCom HK Ltd.
78DA6E	Cisco Systems, Inc
78DAB3	GBO Technology
78DD08	Hon Hai Precision Ind. Co.,Ltd.
78DDD6	C-Scape
78DEE4	Texas Instruments
78E3B5	Hewlett Packard
78E400	Hon Hai Precision Ind. Co.,Ltd.
78E7D1	Hewlett Packard
78E8B6	zte corporation
78E980	RainUs Co.,Ltd
78EB14	SHENZHEN FAST TECHNOLOGIES CO.,LTD
78EB39	Instituto Nacional de Tecnología Industrial
78EC22	Shanghai Qihui Telecom Technology Co., LTD
78EC74	Kyland-USA
78EF4C	Unetconvergence Co., Ltd.
78F29E	PEGATRON CORPORATION
78F557	HUAWEI TECHNOLOGIES CO.,LTD
78F5E5	BEGA Gantenbrink-Leuchten KG
78F5FD	HUAWEI TECHNOLOGIES CO.,LTD
78F7BE	Samsung Electronics Co.,Ltd
78F7D0	Silverbrook Research
78F882	LG Electronics (Mobile Communications)
78F944	Private
78FC14	Family Zone Cyber Safety Ltd
78FD94	Apple, Inc.
78FE3D	Juniper Networks
78FE41	Socus networks
78FEE2	Shanghai Diveo Technology Co., Ltd
78FF57	Intel Corporate
78FFCA	TECNO MOBILE LIMITED
7C0187	Curtis Instruments, Inc.
7C0191	Apple, Inc.
7C02BC	Hansung Electronics Co. LTD
7C034C	Sagemcom Broadband SAS
7C03C9	Shenzhen YOUHUA Technology Co., Ltd
7C03D8	Sagemcom Broadband SAS
7C04D0	Apple, Inc.
7C0507	PEGATRON CORPORATION
7C051E	RAFAEL LTD.
7C0623	Ultra Electronics Sonar System Division
7C08D9	Shanghai B-Star Technology Co
7C092B	Bekey A/S
7C0A50	J-MEX Inc.
7C0BC6	Samsung Electronics Co.,Ltd
7C0ECE	Cisco Systems, Inc
7C1015	Brilliant Home Technology, Inc.
7C11BE	Apple, Inc.
7C11CB	HUAWEI TECHNOLOGIES CO.,LTD
7C11CD	QianTang Technology
7C1476	Damall Technologies SAS
7C160D	Saia-Burgess Controls AG
7C18CD	E-TRON Co.,Ltd.
7C1A03	8Locations Co., Ltd.
7C1AFC	Dalian Co-Edifice Video Technology Co., Ltd
7C1CF1	HUAWEI TECHNOLOGIES CO.,LTD
7C1DD9	Xiaomi Communications Co Ltd
7C1E52	Microsoft
7C1EB3	2N TELEKOMUNIKACE a.s.
7C2048	Koamtac
7C2064	Alcatel-               # Alcatel-Lucent IPD
7C2587	chaowifi.com
7C2634	ARRIS Group, Inc.
7C2664	Sagemcom Broadband SAS
7C2BE1	Shenzhen Ferex Electrical Co.,Ltd
7C2CF3	Secure Electrans Ltd
7C2E0D	Blackmagic Design
7C2F80	Gigaset Communications GmbH
7C336E	MEG Electronics Inc.
7C3548	Transcend Information
7C3866	Texas Instruments
7C386C	Real Time Logic
7C3920	SSOMA SECURITY
7C3BD5	Imago Group
7C3CB6	Shenzhen Homecare Technology Co.,Ltd.
7C3E9D	Patech
7C438F	E-Band Communications Corp.
7C444C	Entertainment Solutions, S.L.
7C4685	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
7C477C	IEEE Registration Authority
7C49B9	Plexus Manufacturing Sdn Bhd
7C4A82	Portsmith LLC
7C4AA8	MindTree Wireless PVT Ltd
7C4B78	Red Sun Synthesis Pte Ltd
7C4C58	Scale Computing, Inc.
7C4CA5	BSkyB Ltd
7C4F7D	Sawwave
7C4FB5	Arcadyan Technology Corporation
7C5049	Apple, Inc.
